,Anime,Genre,Description,Studio,Year,Rating
33,Wakaba*Girl,"['Comedy', 'Slice of Life']","Wakaba Kohashi, a sheltered rich girl, dreams of becoming a fashionable and trendy gyaru because she admires their outgoing and carefree nature. With this goal in mind, Wakaba begins the school year hoping to make her high school debut as a gyaru. On the first day of class, she meets the pure Moeko Tokita, the serious Nao Mashiba, and the eccentric Mao Kurokawa, and the four of them quickly become friends as they learn about and imitate each other's lifestyles.

Wakaba*Girl follows the adventures of these four friends while they experience events like school festivals, waterpark trips, and gym class tests. Along the way, Wakaba discovers what it is like to live as a regular student while Nao, Moeka, and Mao catch a glimpse into the life of a rich family. With never a dull moment in their lives, the four girls make sure to live each day to the fullest.

[Written by MAL Rewrite]",Nexus,"Jul 3, 2015",
34,Makura no Danshi,Slice of Life,"Whispering sweet lullabies into the ears of the viewers, Makura no Danshi presents the watcher with an experience of comfort. Each short episode features a different boy who will listen to the audience and hold them when they need it.

There are boys to suit all tastes: Merry is a gentle brown-haired boy; Sousuke Tanaka is a mature working man; Kanade Hanamine is a high school student who acts tough, but is frightened by mere spiders; Eiji Kijinami is a sore loser who looks like a punk, but has a tender heart; the shy Ryuushi Theodore Emori loves stargazing; Yuu Maiki is a freshman with delusions of grandeur; Haruto Enokawa is an energetic 5-year-old who refuses to sleep without a bedtime story; Nao Sasayama is a hip college student that is addicted to his smartphone; Shirusu Mochizuki is a librarian that treasures both books and book lovers; Yonaga and Yayoi Chigiri are siblings who are learning flower arrangement; and Yuuichirou Iida is a humorous old man who runs an oden stall.

Though the watchers may be troubled with various issues in life, these boys will softly talk about themselves and coax the audience members into revealing their problems. All the boys have kind hearts and will make the viewers feel special and loved.

[Written by MAL Rewrite]",Assez Finaud Fabric,"Jul 14, 2015",
35,Wakako-zake,"['Gourmet', 'Slice of Life']","Murasaki Wakako, who is 26 years old, loves going out alone to enjoy eating and drinking, especially when something unpleasant happens at work. This anime follows Wakako through many solitary outings, where she enjoys different combinations of food and drink!

(Source: MangaHelpers, edited)",Office DCI,"Jul 5, 2015",
36,The iDOLM@STER Cinderella Girls 2nd Season,"['Comedy', 'Drama']",Second season of The iDOLM@STER Cinderella Girls.,A-1 Pictures,"Jul 18, 2015",
37,Aquarion Logos,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']","For thousands of years after its development, mankind used the written word for communication between people and generations. As millenia passed and technology became more prevalent, writing - and thus, communication as a whole - diminished, until it could only be found on cell phones and computer screens. Seeing an opportunity, the sorcerer Sogan Kenzaki starts infecting words with the Nesta Virus, which brings them to life and turns them into monsters called MJBK (Menace of Japanese with Biological Kinetic energy).

To counter this attack against humanity, an organization known as DEAVA (Division of EArth Verbalism Ability) assembles a group of youths with the ability of ""Verbalism"". They have to pilot the vector machines, which are used to form the mechas dubbed ""Aquarions"". The one wild card in the situation is the self-dubbed ""savior"", a young man who is the direct relative of a famous calligrapher, named Akira Kaibuki.",Satelight,"Jul 3, 2015",
38,Miss Monochrome The Animation 2,"['Comedy', 'Slice of Life']","The Ultra Super Pictures Special Stage event announced at AnimeJapan 2015 on Saturday that the Miss Monochrome television anime series will receive a second season. The season will run within the 30-minute Ultra Super Anime Time block beginning on July 3, 2015.

(Source: ANN)",LIDENFILMS,"Jul 3, 2015",
39,Teekyuu 5,Comedy,Fifth season of Teekyuu series.,Millepensee,"Jul 7, 2015",
40,Million Doll,[],"Million Doll revolves around Suuko, an idol-loving hikikomori (shut-in) who has one ability: To make any idol popular through the power of blogging. She puts her sights on the Fukuoka idol Itorio and tries to make her sell more, but she is impeded by the charismatic idol Ryuu-san and the underground idol Mariko.

(Source: ANN)",Asahi Production,"Jul 7, 2015",
41,Venus Project: Climax,Action,"In the near future, Japan has developed sophisticated digital and image technology. People are enthusiastic for a new type of entertainment called ""FORMULA VENUS."" Abbreviated as ""F-V,"" it is a sorted live battle of the top idol performances based on the idols' power, techniques, and developed experience. The story is about the drama that happens among the girls in VENUS PROJECT as they aim for the top by concentrating on difficult battles, passion, and friendship.

(Source: MAL News)",Nomad,"Jul 12, 2015",
42,Suzakinishi The Animation,"['Comedy', 'Slice of Life']","Voice actresses Aya Suzaki and Asuka Nishi announced at an event in Tokyo on Sunday that their Suzakinishi radio program will get a television anime adaptation starting in July. The Suzakinishi The AanimationN anime will air on Tokyo MX TV, TV Kanazawa, and Sun TV.

(Source: ANN)",feel.,"Jul 8, 2015",
43,Wooser no Sono Higurashi: Mugen-hen,"['Comedy', 'Fantasy', 'Slice of Life']","The zany and cute-but-crude Wooser returns for another season in Wooser’s Hand-to-Mouth Life: Phantasmagoric Arc! Wooser is a creature that only cares about three things in life: meat, money, and girls.

(Source: Crunchyroll, edited)",SANZIGEN,"Jul 3, 2015",
44,Kurayami Santa,Supernatural,"In the midst of Shouwa era Japan, greed runs rampant through the bustling cities and communities of the nation. King of Hell Enma Daiou summons an envoy into his office in the form of a small boy named Kurayami Santa. Through Enma's debriefing, Santa learns that the amount of greed and selfish behavior produced by humans will soon create an enormous wave of souls entering into Hell simultaneously, which would be catastrophic for Hell itself. 

Santa is given one mission: do something about it. With neither guidelines nor rules, Santa is tasked to handle the situation as he sees fit. In the human world, a rampaging thunderstorm strikes a nearby cemetery with a bolt of lightning, and the envoy of Hell appears. 

Teleported into the human world, Santa quickly realizes that humans are just as wicked as Enma had described. Without upsetting the balance between light and dark, Santa begins his quest to complete the mission from Hell and restore order to the human world.

[Written by MAL Rewrite]
",ILCA,"Jul 5, 2015",
45,Q Transformers: Saranaru Ninki Mono e no Michi,Slice of Life,Second season of Q Transformers.,DLE,"Jul 6, 2015",
47,Kaijuu Sakaba Kanpai!,"['Comedy', 'Supernatural']",Kaijuu Sakaba is a real tavern where kaijuu costumes from the Ultraman franchise are on display. Events are held where people can dine with the actors dressed in the kaijuu costumes. In honor of Kaijuu Sakaba's grand re-opening in Kawasaki and opening of a second tavern in Osaka this anime was made to focus on the kaijuu working at a tavern and the tribulations that come with it.,DLE,"Jul 7, 2015",
